measure_id,ballot_id,state,election_date,election_type,topic,measure_name,description_short,progressive_side,yes_pct,outcome,severity_note,same_ballot_catalog_ids,same_ballot_companions,source_url
al_20121106_amendment_6,AL_2012-11-06,AL,2012-11-06,general,healthcare,Amendment 6,"Amends the Alabama Constitution to prohibit any person, employer, or health care provider from being compelled to participate in any health care system.",no,59.0,pass,constitutional ACA-mandate block (legislatively referred),al_20121106_amendment_7_secret_ballot_amendment,Amendment 1 — Forever Wild land trust funding; Amendment 2 — general obligation bonds; Amendment 3 — Stockton landmark district; Amendment 4 — segregation-era constitutional language; Amendment 5 — Mobile water and sewer system; Amendment 7 — secret-ballot union elections; Amendment 8 — legislator compensation; Amendment 9 — corporate business/privilege tax authority; Amendment 10 — state banking authority; Amendment 11 — Lawrence County municipal ordinances,"https://ballotpedia.org/Alabama_Health_Care_Amendment,_Amendment_6_(2012)"
ar_20121106_issue_5,AR_2012-11-06,AR,2012-11-06,general,cannabis,Issue 5,"A YES vote makes medical use of marijuana legal under Arkansas law for qualifying patients, supplied through nonprofit dispensaries with limited home cultivation.",yes,48.6,fail,medical only,,"Issue 1 — sales tax increase for highways; Issue 2 — redevelopment project bonds; Issues 3 and 4 — casino gaming (on ballot but invalidated, votes not counted)","https://ballotpedia.org/Arkansas_Medical_Marijuana_Question,_Issue_5_(2012)"
co_20121106_amendment_64,CO_2012-11-06,CO,2012-11-06,general,cannabis,Amendment 64,A YES vote legalizes possession and use of marijuana for adults 21+ and establishes a regulated commercial cultivation and retail system in the state constitution.,yes,55.3,pass,full recreational (constitutional amendment),,Amendment 65 — campaign finance federal amendment; Amendment S — state personnel system,"https://ballotpedia.org/Colorado_Amendment_64,_Regulation_of_Marijuana_Initiative_(2012)"
fl_20121106_amendment_6,FL_2012-11-06,FL,2012-11-06,general,abortion,Amendment 6,A YES vote prohibits public funds for abortions or abortion coverage and bars interpreting the state constitution's privacy right more broadly than the federal one.,no,44.9,fail,public funding ban + narrows state privacy right; required 60% approval,fl_20121106_amendment_1,Amendment 1 (prohibit compulsory health insurance); Amendment 2 (veteran homestead tax discount); Amendment 3 (state revenue limitation); Amendment 4 (property assessment changes); Amendment 5 (legislative power over courts); Amendment 8 (religious organization funding); Amendment 9 (surviving spouse homestead exemption); Amendment 10 (tangible personal property exemption); Amendment 11 (senior homestead exemption); Amendment 12 (student body president selection),"https://ballotpedia.org/Florida_Amendment_6,_State_Constitution_Interpretation_and_Prohibit_Public_Funds_for_Abortions_Amendment_(2012)"
fl_20121106_amendment_1,FL_2012-11-06,FL,2012-11-06,general,healthcare,Amendment 1,Amends the Florida Constitution to prohibit compelling any person or employer to purchase or provide health insurance (blocking the ACA mandate) and to permit direct payment for care.,no,48.5,fail,constitutional ACA-mandate block (needed 60%); certified yes 48.5% also fell short of a simple majority,fl_20121106_amendment_6,Amendment 2 — combat-injured veterans property tax discount; Amendment 3 — state revenue limitation; Amendment 4 — property assessment and homestead exemption; Amendment 5 — judiciary rules and appointments; Amendment 6 — public funding of abortion ban; Amendment 8 — religious institutions public funding; Amendment 9 — first responder/military surviving spouse tax exemption; Amendment 10 — tangible personal property tax exemption; Amendment 11 — senior low-income homestead exemption; Amendment 12 — university board student member,"https://ballotpedia.org/Florida_Healthcare,_Amendment_1_(2012)"
ma_20121106_question_3,MA_2012-11-06,MA,2012-11-06,general,cannabis,Question 3,"A YES vote eliminates state penalties for medical use of marijuana by qualifying patients, supplied through state-regulated treatment centers or hardship home cultivation.",yes,63.3,pass,medical only,,Question 1 — auto right to repair; Question 2 — physician-assisted death,"https://ballotpedia.org/Massachusetts_Medical_Marijuana_Initiative,_Question_3_(2012)"
md_20121106_question_6,MD_2012-11-06,MD,2012-11-06,general,marriage,Question 6,"A YES vote upholds the Civil Marriage Protection Act, allowing same-sex couples to obtain civil marriage licenses in Maryland.",yes,52.4,pass,"statutory veto referendum; upholds/legalizes marriage (law took effect Jan 1, 2013); clergy exempted from performing ceremonies",,"Question 1 — Orphans' Court judge qualifications, Prince George's County; Question 2 — Orphans' Court judge qualifications, Baltimore County; Question 3 — removal of convicted elected officials; Question 4 — in-state tuition for undocumented students (Dream Act referendum); Question 5 — congressional redistricting plan referendum; Question 7 — gaming expansion, new Prince George's County casino","https://ballotpedia.org/Maryland_Same-Sex_Civil_Marriage_Referendum,_Question_6_(2012)"
me_20121106_question_1,ME_2012-11-06,ME,2012-11-06,general,marriage,Question 1,A YES vote enacts a citizen-initiated statute allowing the State of Maine to issue marriage licenses to same-sex couples.,yes,52.7,pass,"statutory citizen initiative; legalizes marriage — first U.S. legalization of same-sex marriage by citizen initiative, reversing Maine's own 2009 people's veto (yes_pct is yes/(yes+no) from certified counts 372,887-334,723; Ballotpedia prints 51.5% because Maine reports shares of all ballots incl. blanks)",,Question 2 — community college bond (defeated); Question 3 — water access and wildlife conservation bond; Question 4 — transportation bond; Question 5 — water and sewer bond,"https://ballotpedia.org/Maine_Same-Sex_Marriage_Question,_Question_1_(2012)"
mi_20121106_proposal_2_protect_our_jobs_amendment,MI_2012-11-06,MI,2012-11-06,general,labor,Proposal 2 (Protect Our Jobs Amendment),"A YES vote establishes a constitutional right for public and private employees to organize and bargain collectively, invalidating laws that limit union participation or conflict with collective bargaining agreements.",yes,42.6,fail,Sweeping: would have constitutionalized collective bargaining for all public and private employees and preempted right-to-work legislation,mi_20121106_proposal_4_in_home_care_workers_initiati,Proposal 1 - emergency manager law veto referendum; Proposal 3 - 25% renewable energy standard; Proposal 4 - in-home care workers collective bargaining; Proposal 5 - two-thirds vote for tax increases; Proposal 6 - voter approval for international bridge,"https://ballotpedia.org/Michigan_Proposal_2,_Constitutional_Right_to_Collective_Bargaining_Initiative_(2012)"
mi_20121106_proposal_4_in_home_care_workers_initiati,MI_2012-11-06,MI,2012-11-06,general,labor,Proposal 4 (In-Home Care Workers Initiative),"A YES vote creates the Michigan Quality Home Care Council, allows in-home care workers to bargain collectively, and authorizes the council to set employment terms and minimum compensation standards.",yes,43.8,fail,Narrow sector scope (in-home care workers only) but constitutional in form,mi_20121106_proposal_2_protect_our_jobs_amendment,Proposal 1 - emergency manager law veto referendum; Proposal 2 - constitutional right to collective bargaining; Proposal 3 - 25% renewable energy standard; Proposal 5 - two-thirds vote for tax increases; Proposal 6 - voter approval for international bridge,"https://ballotpedia.org/Michigan_Proposal_4,_Establish_Quality_Home_Care_Council_and_Collective_Bargaining_for_In-Home_Care_Workers_Initiative_(2012)"
mn_20121106_amendment_1,MN_2012-11-06,MN,2012-11-06,general,marriage,Amendment 1,A YES vote amends the Minnesota Constitution to define marriage as solely between one man and one woman.,no,48.1,fail,constitutional; would have banned marriage only; DEFEATED — first head-on rejection of a marriage-definition constitutional amendment (blank ballots count against amendments in Minnesota),,Amendment 2 — require photo ID to vote (defeated),"https://ballotpedia.org/Minnesota_Amendment_1,_Definition_of_Marriage_Amendment_(2012)"
mo_20121106_proposition_e,MO_2012-11-06,MO,2012-11-06,general,healthcare,Proposition E,Enacts a statute prohibiting the establishment or operation of a state health insurance exchange unless created by the legislature or a vote of the people.,no,61.7,pass,exchange-establishment block (statutory); barred the governor from setting up an ACA exchange unilaterally,,Amendment 3 — judicial appointment commission; Proposition A — local control of St. Louis police; Proposition B — tobacco tax increase,"https://ballotpedia.org/Missouri_Healthcare_Exchange_Question,_Proposition_E_(2012)"
mt_20121106_lr_120,MT_2012-11-06,MT,2012-11-06,general,abortion,LR-120,A YES vote requires parental notification (with judicial waiver) before an abortion for a minor under 16.,no,70.6,pass,parental notification (under 16) only,mt_20121106_ir_124; mt_20121106_lr_122,"LR-121 (proof of citizenship for state services); LR-122 (prohibit mandatory health insurance); IR-124 (referendum on medical marijuana repeal law); I-166 (prohibit corporate political spending, policy statement)","https://ballotpedia.org/Montana_Parental_Notification_Measure,_LR-120_(2012)"
mt_20121106_ir_124,MT_2012-11-06,MT,2012-11-06,general,cannabis,IR-124,"A YES vote affirms Senate Bill 423, which repealed the 2004 voter-approved medical marijuana program and replaced it with a far more restrictive one (three-patient provider limit, no compensation).",no,57.2,pass,"restrictive referendum on medical program; YES upheld the restrictive law, so the pro-access side lost",mt_20121106_lr_120; mt_20121106_lr_122,I-166 — corporate political spending ban; LR-120 — parental notification for abortion; LR-121 — proof of citizenship for state services; LR-122 — healthcare mandate prohibition,"https://ballotpedia.org/Montana_Medical_Marijuana_Veto_Referendum,_IR-124_(2012)"
mt_20121106_lr_122,MT_2012-11-06,MT,2012-11-06,general,healthcare,LR-122,"Enacts a statute prohibiting the state or federal government from mandating the purchase of health insurance or imposing penalties, taxes, or fines for not purchasing it.",no,67.2,pass,statutory ACA-mandate block (legislative referendum),mt_20121106_lr_120; mt_20121106_ir_124,LR-120 — parental notification for minor's abortion; LR-121 — proof of citizenship for state services; IR-124 — medical marijuana law referendum; I-166 — corporate election spending policy,"https://ballotpedia.org/Montana_Healthcare_Measure,_LR-122_(2012)"
or_20121106_measure_80,OR_2012-11-06,OR,2012-11-06,general,cannabis,Measure 80,"A YES vote allows commercial marijuana cultivation and sale to adults through state-licensed stores regulated by a cannabis commission, plus unlicensed personal cultivation and use.",yes,46.6,fail,"full recreational (state commission model, unlicensed personal grows)",,Measure 77 — catastrophic disaster powers; Measure 78 — constitutional wording on government branches; Measure 79 — real estate transfer tax ban; Measure 81 — gillnet fishing ban; Measure 82 — private casinos amendment; Measure 83 — Multnomah County casino; Measure 84 — estate tax phase-out; Measure 85 — corporate kicker to education,"https://ballotpedia.org/Oregon_Cannabis_Tax_Act_Initiative,_Measure_80_(2012)"
sd_20121106_referred_law_16_teacher_bonus_scholarshi,SD_2012-11-06,SD,2012-11-06,general,labor,"Referred Law 16 (Teacher Bonus, Scholarship, and Tenure Referendum)","A YES vote enacts the referred law (HB 1234) giving bonuses to top-performing teachers, phasing out tenure, and funding scholarships for critical-need teaching fields; the NO side won, blocking the law.",no,32.8,fail,Sector-specific (public school teachers) veto referendum on merit pay and tenure elimination; organized by the South Dakota Education Association,,Constitutional Amendment M - corporate law modernization; Constitutional Amendment N - travel reimbursement repeal; Constitutional Amendment O - cement plant trust fund; Constitutional Amendment P - balanced budget requirement; Referred Law 14 - business project grant fund; Initiated Measure 15 - one-percent sales tax increase,"https://ballotpedia.org/South_Dakota_Referred_Law_16,_Teachers_Scholarship,_Bonus,_and_Tenure_Policies_Referendum_(2012)"
wa_20121106_referendum_74,WA_2012-11-06,WA,2012-11-06,general,marriage,Referendum 74,"A YES (approve) vote upholds SB 6239, legalizing same-sex marriage in Washington while preserving domestic partnerships for seniors and religious refusal rights.",yes,53.7,pass,statutory veto referendum; legalizes marriage,wa_20121106_initiative_502,Initiative 502 — legalize and regulate marijuana; Initiative 1185 — two-thirds legislative vote for tax increases; Initiative 1240 — authorize public charter schools; Advisory Vote 1 — B&O tax deduction elimination (nonbinding); Advisory Vote 2 — petroleum products tax extension (nonbinding); SJR 8221 — phase down constitutional debt limit; SJR 8223 — university public fund investing (defeated),"https://ballotpedia.org/Washington_Referendum_74,_Same-Sex_Marriage_Measure_(2012)"
wa_20121106_initiative_502,WA_2012-11-06,WA,2012-11-06,general,cannabis,Initiative 502,"A YES vote legalizes and regulates the production, possession, and distribution of marijuana for adults 21+, with state-licensed, taxed retail sales.",yes,55.7,pass,full recreational,wa_20121106_referendum_74,Referendum 74 — same-sex marriage; Initiative 1185 — two-thirds vote for taxes; Initiative 1240 — charter schools; SJR 8221 — state debt limit; SJR 8223 — university investment authority; Advisory Vote 1 — tax preference repeal (nonbinding); Advisory Vote 2 — pollution liability insurance tax (nonbinding),"https://ballotpedia.org/Washington_Marijuana_Legalization_and_Regulation,_Initiative_502_(2012)"
wy_20121106_amendment_a,WY_2012-11-06,WY,2012-11-06,general,healthcare,Amendment A,Adds a Right to Health Care Access section to the Wyoming Constitution guaranteeing each competent adult the right to make their own health care decisions and to pay directly for care without penalty.,no,77.0,pass,constitutional ACA-mandate block (legislatively referred; later invoked to protect abortion access),,Amendment B — right to hunt and fish; Amendment C — district court commissioners,"https://ballotpedia.org/Wyoming_Constitutional_Amendment_A,_Right_to_Make_Healthcare_Decisions_and_Direct_Healthcare_Payments_Amendment_(2012)"
nj_20131105_public_question_2_minimum_wage_increase_,NJ_2013-11-05,NJ,2013-11-05,odd-year general,labor,Public Question 2 (Minimum Wage Increase Amendment),"A YES vote amends the state constitution to raise the minimum wage from $7.25 to $8.25 per hour with automatic annual CPI-based increases starting January 1, 2014.",yes,61.3,pass,"Constitutional rather than statutory, with permanent automatic inflation indexing; opposed by Gov. Chris Christie and business groups",,Public Question 1 - veterans' organizations use of gambling proceeds,"https://ballotpedia.org/New_Jersey_Minimum_Wage_Increase_Amendment,_Public_Question_2_(2013)"
ak_20141104_ballot_measure_2,AK_2014-11-04,AK,2014-11-04,general,cannabis,Ballot Measure 2,"A YES vote legalizes recreational marijuana for adults 21+, allowing possession of up to one ounce and six plants, with taxed and regulated commercial sales.",yes,53.2,pass,"full recreational legalization; took effect February 24, 2015",ak_20141104_ballot_measure_3_minimum_wage_increase,Ballot Measure 3 — minimum wage increase; Ballot Measure 4 — Bristol Bay mining ban,"https://ballotpedia.org/Alaska_Marijuana_Legalization,_Ballot_Measure_2_(2014)"
ak_20141104_ballot_measure_3_minimum_wage_increase,AK_2014-11-04,AK,2014-11-04,general,labor,Ballot Measure 3 (Minimum Wage Increase),"A YES vote raises the state minimum wage from $7.75 to $8.75 on January 1, 2015 and $9.75 on January 1, 2016, then adjusts it annually for inflation or keeps it $1 above the federal minimum, whichever is greater.",yes,69.4,pass,"Initiated state statute with permanent inflation indexing and a $1-above-federal floor; on the November general ballot (not the August primary); first increase took effect February 24, 2015 due to the 90-day certification rule",ak_20141104_ballot_measure_2,Ballot Measure 2 - marijuana legalization; Ballot Measure 4 - Bristol Bay mining ban,"https://ballotpedia.org/Alaska_Minimum_Wage_Increase,_Ballot_Measure_3_(2014)"
ar_20141104_issue_5_minimum_wage_initiative,AR_2014-11-04,AR,2014-11-04,general,labor,Issue 5 (Minimum Wage Initiative),"A YES vote raises the state minimum wage from $6.25 to $7.50 on January 1, 2015, $8.00 on January 1, 2016, and $8.50 on January 1, 2017.",yes,65.9,pass,"Statutory, stepped increases only, no inflation indexing; moderate scope",,"Issue 1 - legislative approval of state agency rules; Issue 2 - ballot measure signature requirements; Issue 3 - ethics, transparency, and term limits reform; Issue 4 - alcoholic beverage sales expansion","https://ballotpedia.org/Arkansas_Minimum_Wage_Initiative,_Issue_5_(2014)"
co_20141104_amendment_67,CO_2014-11-04,CO,2014-11-04,general,abortion,Amendment 67,A YES vote includes unborn human beings as 'persons' and 'children' in the Colorado criminal code and wrongful death act.,no,35.1,fail,personhood in criminal code (third Colorado personhood attempt),,Amendment 68 (horse racetrack casino gaming for K-12 fund); Proposition 104 (open school board negotiations); Proposition 105 (GMO food labeling),"https://ballotpedia.org/Colorado_Definition_of_%22Personhood%22_Initiative,_Amendment_67_(2014)"
fl_20141104_amendment_2,FL_2014-11-04,FL,2014-11-04,general,cannabis,Amendment 2,A YES vote adds a state constitutional amendment legalizing medical marijuana for individuals with debilitating diseases as determined by a licensed physician.,yes,57.6,fail,medical only; won a 57.62% majority but FAILED because Florida constitutional amendments require a 60% supermajority,,Amendment 1 — water and land conservation funding; Amendment 3 — prospective judicial vacancy appointments,"https://ballotpedia.org/Florida_Right_to_Medical_Marijuana_Initiative,_Amendment_2_(2014)"
il_20141104_minimum_wage_increase_question,IL_2014-11-04,IL,2014-11-04,general,labor,Minimum Wage Increase Question,"A YES vote advises the legislature to raise the state's hourly minimum wage from $8.25 to $10 by January 1, 2015 (non-binding).",yes,63.7,pass,"ADVISORY, NON-BINDING legislative question; Ballotpedia's percentages are calculated against all ballots cast in the election, so yes+no sum to less than 100% (No was 31.8%)",,"Right to Vote Amendment - voting rights protection; Crime Victims' Bill of Rights Amendment - victims' rights (Marsy's Law); Birth Control in Prescription Drug Coverage Question - advisory, contraception coverage; Millionaire Tax Increase for Education Question - advisory, income tax on millionaires for schools",https://ballotpedia.org/Illinois_Minimum_Wage_Increase_Question_(2014)
ma_20141104_question_4_paid_sick_days_initiative,MA_2014-11-04,MA,2014-11-04,general,labor,Question 4 (Paid Sick Days Initiative),"A YES vote entitles employees to earn and use up to 40 hours of sick time per year, paid for those working at employers with eleven or more employees.",yes,59.4,pass,Statutory earned-sick-time mandate; paid leave applies only to employers with 11+ employees; a companion minimum wage initiative was withdrawn after the legislature raised the wage in 2014,,Question 1 - gas tax automatic indexing repeal; Question 2 - bottle deposit law expansion; Question 3 - casino law repeal,"https://ballotpedia.org/Massachusetts_Question_4,_Paid_Sick_Days_Initiative_(2014)"
mo_20141104_amendment_3_teacher_performance_evaluati,MO_2014-11-04,MO,2014-11-04,general,labor,Amendment 3 (Teacher Performance Evaluation),"A YES vote requires student-performance-based teacher evaluations governing dismissal, retention, demotion, and promotion, and prohibits teachers from collectively bargaining over the terms of those evaluations.",no,23.6,fail,Sector-specific (public school teachers) but constitutional in form; included an explicit collective-bargaining prohibition; defeated by a landslide 76.4% No,,Amendment 2 - prior criminal acts evidence in child sex abuse trials; Amendment 6 - six-day early voting period; Amendment 10 - limits on governor's budget powers,"https://ballotpedia.org/Missouri_Teacher_Performance_Evaluation,_Amendment_3_(2014)"
nd_20141104_measure_1,ND_2014-11-04,ND,2014-11-04,general,abortion,Measure 1,A YES vote adds to the state constitution an 'inalienable right to life of every human being at any stage of development'.,no,35.9,fail,right-to-life-at-any-stage amendment (personhood-adjacent),,Measure 2 (ban taxes on property transfers); Measure 3 (replace higher education board); Measure 4 (bar initiatives with fiscal impact from special elections); Measure 5 (oil tax revenue for conservation); Measure 6 (equal parental rights presumption); Measure 7 (pharmacy ownership rules); Measure 8 (school start after Labor Day),"https://ballotpedia.org/North_Dakota_%22Life_Begins_at_Conception%22_Amendment,_Measure_1_(2014)"
ne_20141104_initiative_425_minimum_wage_increase,NE_2014-11-04,NE,2014-11-04,general,labor,Initiative 425 (Minimum Wage Increase),"A YES vote raises the state minimum wage from $7.25 to $8.00 on January 1, 2015 and to $9.00 on January 1, 2016.",yes,59.5,pass,"Statutory, stepped increases only, no inflation indexing; the only measure on Nebraska's 2014 statewide ballot (the horse race wagering amendment was removed by court order)",,,"https://ballotpedia.org/Nebraska_Minimum_Wage_Increase,_Initiative_425_(2014)"
or_20141104_measure_91,OR_2014-11-04,OR,2014-11-04,general,cannabis,Measure 91,"A YES vote legalizes recreational marijuana for adults 21+, allowing possession of up to 8 oz at home and 4 plants, taxed and regulated by the Oregon Liquor Control Commission.",yes,56.1,pass,full recreational legalization with state-regulated commercial sales,,Measure 86 — post-secondary education fund; Measure 87 — judges' outside employment; Measure 88 — immigrant driver cards referendum; Measure 89 — equal rights for women; Measure 90 — top-two open primary; Measure 92 — GMO food labeling,"https://ballotpedia.org/Oregon_Legalized_Marijuana_Initiative,_Measure_91_(2014)"
sd_20141104_initiated_measure_18_increased_minimum_w,SD_2014-11-04,SD,2014-11-04,general,labor,Initiated Measure 18 (Increased Minimum Wage),"A YES vote raises the minimum wage from $7.25 to $8.50 per hour on January 1, 2015 with annual inflation adjustments thereafter, and sets the tipped wage at half the minimum ($2.13 to $4.25).",yes,55.1,pass,Statutory with permanent annual inflation indexing plus a tipped-wage increase; sponsored by the South Dakota Democratic Party and labor unions,,Initiated Measure 17 - any-willing-provider health insurance; Amendment Q - Deadwood gambling game expansion,"https://ballotpedia.org/South_Dakota_Increased_Minimum_Wage,_Initiated_Measure_18_(2014)"
tn_20141104_amendment_1,TN_2014-11-04,TN,2014-11-04,general,abortion,Amendment 1,"A YES vote declares that the Tennessee constitution secures no right to abortion and empowers the legislature to enact, amend, or repeal abortion statutes.",no,52.6,pass,no-right amendment; grants legislature plenary power over abortion,,Amendment 2 (governor appoints judges with confirmation); Amendment 3 (prohibit payroll/income tax); Amendment 4 (charity event lotteries),"https://ballotpedia.org/Tennessee_Amendment_1,_No_State_Constitutional_Right_to_Abortion_and_Legislative_Power_to_Regulate_Abortion_Amendment_(2014)"
oh_20151103_issue_3,OH_2015-11-03,OH,2015-11-03,odd-year general,cannabis,Issue 3,A YES vote adds a constitutional amendment legalizing recreational and medical marijuana while granting exclusive commercial growing rights to ten pre-designated investor-owned sites.,yes,36.4,fail,"full recreational + medical, but its constitutional grower monopoly (10 investor sites, the ResponsibleOhio plan) drove opposition even among legalization supporters; lost all 88 counties; the legislature's companion Issue 2 anti-monopoly amendment passed (51.3%) specifically to block it",,Issue 1 — legislative redistricting commission; Issue 2 — anti-monopoly initiative restrictions,"https://ballotpedia.org/Ohio_Marijuana_Legalization_Initiative,_Issue_3_(2015)"
al_20161108_alabama_right_to_work_amendment_8,AL_2016-11-08,AL,2016-11-08,general,labor,"Alabama Right to Work, Amendment 8","Adds Alabama's existing statutory right-to-work policy, prohibiting employers from requiring union membership, to the state constitution.",no,69.6,pass,Constitutionalizes an already-existing statutory right-to-work policy; symbolic entrenchment rather than new policy,,Amendment 1 - Auburn University board of trustees; Amendment 2 - prohibit reallocation of state park funds; Amendment 3 - rules governing local constitutional amendments; Amendment 4 - county administration of local affairs; Amendment 5 - separation of powers language; Amendment 6 - impeachment rules; Amendment 7 - Etowah County sheriff employees supervision; Amendment 9 - Pickens County probate judge maximum age; Amendment 10 - Calhoun County police/planning jurisdiction; Amendment 11 - manufacturing zone tax revenue; Amendment 12 - toll bridge and toll road districts; Amendment 13 - repeal age restrictions for government officials; Amendment 14 - budget isolation resolution on local laws,"https://ballotpedia.org/Alabama_Right_to_Work,_Amendment_8_(2016)"
ar_20161108_issue_6,AR_2016-11-08,AR,2016-11-08,general,cannabis,Issue 6,"A YES vote adds a constitutional amendment legalizing medical marijuana for patients with qualifying conditions, with state-licensed dispensaries.",yes,53.1,pass,"medical only, but constitutional; its competing statutory initiative Issue 7 was struck from the ballot by the Arkansas Supreme Court on October 27, 2016, before votes were counted; first medical marijuana approval in the Bible Belt",,Issue 1 — four-year terms for county officials; Issue 2 — governor's powers when out of state; Issue 3 — removal of economic development bond cap,"https://ballotpedia.org/Arkansas_Medical_Marijuana_Amendment,_Issue_6_(2016)"
az_20161108_proposition_205,AZ_2016-11-08,AZ,2016-11-08,general,cannabis,Proposition 205,A YES vote would have legalized recreational marijuana for adults 21+ with a 15% tax and licensed retail sales.,yes,48.7,fail,full recreational attempt; the only 2016 statewide marijuana measure to fail; Arizona later legalized via Prop 207 in 2020,az_20161108_arizona_minimum_wage_and_paid_time_off_p,Proposition 206 — minimum wage increase and paid sick leave,"https://ballotpedia.org/Arizona_Marijuana_Legalization,_Proposition_205_(2016)"
az_20161108_arizona_minimum_wage_and_paid_time_off_p,AZ_2016-11-08,AZ,2016-11-08,general,labor,"Arizona Minimum Wage and Paid Time Off, Proposition 206","Raises the minimum wage from $8.05 to $10 in 2017 and incrementally to $12 by 2020, and creates a right to earned paid sick time.",yes,58.3,pass,$12 by 2020 (from $8.05) + earned paid sick time; initiated state statute,az_20161108_proposition_205,Proposition 205 - recreational marijuana legalization,"https://ballotpedia.org/Arizona_Minimum_Wage_and_Paid_Time_Off,_Proposition_206_(2016)"
ca_20161108_proposition_64,CA_2016-11-08,CA,2016-11-08,general,cannabis,Proposition 64,A YES vote legalizes recreational marijuana for adults 21+ with state taxes on cultivation and retail sales and a commercial licensing system.,yes,57.1,pass,full recreational legalization in the largest state; anchor of the 2016 marijuana wave,ca_20161108_proposition_52; ca_20161108_proposition_61; ca_20161108_proposition_56,Proposition 51 — school construction bonds; Proposition 52 — Medi-Cal hospital fee; Proposition 53 — voter approval of revenue bonds; Proposition 54 — legislature transparency; Proposition 55 — income tax extension; Proposition 56 — cigarette tax increase; Proposition 57 — parole and juvenile sentencing; Proposition 58 — bilingual education; Proposition 59 — Citizens United advisory question; Proposition 60 — condoms in adult films; Proposition 61 — prescription drug price standards; Proposition 62 — death penalty repeal; Proposition 63 — ammunition background checks; Proposition 65 — carryout bag revenue; Proposition 66 — death penalty procedure speedup; Proposition 67 — plastic bag ban referendum,"https://ballotpedia.org/California_Proposition_64,_Marijuana_Legalization_(2016)"
ca_20161108_proposition_52,CA_2016-11-08,CA,2016-11-08,general,healthcare,Proposition 52,Makes the Medi-Cal hospital quality-assurance fee program permanent and requires voter approval before the legislature can divert its revenue from Medi-Cal.,yes,70.1,pass,Medicaid (Medi-Cal) hospital fee funding,ca_20161108_proposition_64; ca_20161108_proposition_61; ca_20161108_proposition_56,Proposition 51 — school bonds; Proposition 53 — voter approval of revenue bonds; Proposition 54 — legislative transparency; Proposition 55 — income tax extension for education/healthcare; Proposition 56 — tobacco tax increase; Proposition 57 — parole and juvenile justice; Proposition 58 — bilingual education; Proposition 59 — overturn Citizens United advisory; Proposition 60 — condoms in adult films; Proposition 61 — drug price standards (VA pricing); Proposition 62 — death penalty repeal; Proposition 63 — ammunition background checks; Proposition 64 — marijuana legalization; Proposition 65 — carryout bag revenue; Proposition 66 — death penalty procedures; Proposition 67 — plastic bag ban referendum,"https://ballotpedia.org/California_Proposition_52,_Continued_Hospital_Fee_Revenue_Dedicated_to_Medi-Cal_Unless_Voters_Approve_Changes_(2016)"
ca_20161108_proposition_61,CA_2016-11-08,CA,2016-11-08,general,healthcare,Proposition 61,Prohibits state agencies from paying more for prescription drugs than the lowest price paid by the U.S. Department of Veterans Affairs.,yes,46.8,fail,drug pricing (VA benchmark),ca_20161108_proposition_64; ca_20161108_proposition_52; ca_20161108_proposition_56,Proposition 51 — school bonds; Proposition 52 — Medi-Cal hospital fee program; Proposition 53 — voter approval of revenue bonds; Proposition 54 — legislative transparency; Proposition 55 — income tax extension for education/healthcare; Proposition 56 — tobacco tax increase; Proposition 57 — parole and juvenile justice; Proposition 58 — bilingual education; Proposition 59 — overturn Citizens United advisory; Proposition 60 — condoms in adult films; Proposition 62 — death penalty repeal; Proposition 63 — ammunition background checks; Proposition 64 — marijuana legalization; Proposition 65 — carryout bag revenue; Proposition 66 — death penalty procedures; Proposition 67 — plastic bag ban referendum,"https://ballotpedia.org/California_Proposition_61,_Drug_Price_Standards_(2016)"
ca_20161108_proposition_56,CA_2016-11-08,CA,2016-11-08,general,healthcare,Proposition 56,"Raises the cigarette tax by $2.00 per pack, with equivalent increases on other tobacco products and e-cigarettes, allocating most new revenue to Medi-Cal (California's Medicaid program) plus physician training, dental disease prevention, and tobacco-related disease research.",yes,64.4,pass,tobacco tax funding Medi-Cal (Medicaid),ca_20161108_proposition_64; ca_20161108_proposition_52; ca_20161108_proposition_61,Proposition 51 — school bonds; Proposition 52 — hospital fee program; Proposition 53 — revenue bond voter approval; Proposition 54 — legislative transparency; Proposition 55 — income tax extension; Proposition 57 — parole and juvenile trials; Proposition 58 — bilingual education; Proposition 59 — Citizens United advisory; Proposition 60 — condoms in adult films; Proposition 61 — prescription drug prices; Proposition 62 — death penalty repeal; Proposition 63 — ammunition background checks; Proposition 64 — marijuana legalization; Proposition 65 — carryout bag revenue; Proposition 66 — death penalty procedures; Proposition 67 — plastic bag ban referendum,"https://ballotpedia.org/California_Proposition_56,_Tobacco_Tax_Increase_(2016)"
